tweet,sentiment_value,sentiment,range,airline,timezone
@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.,-26.8793601114312,negative,B,Virgin America,Pacific Time (US & Canada)
@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet.,-5,negative,B,Virgin America,Pacific Time (US & Canada)
@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,-14.4337567297406,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,0.0022360679775,positive,D,Virgin America,Arizona
@VirginAmerica Why is the site down?  When will it be back up?,0,neutral,C,Virgin America,Arizona
"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly",0,neutral,C,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",0,neutral,C,Virgin America,Arizona
@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,0,neutral,C,Virgin America,Mountain Time (US & Canada)
@virginamerica What is your phone number. I can't find who to call about a flight reservation.,0,neutral,C,Virgin America,Eastern Time (US & Canada)
@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,0,neutral,C,Virgin America,Quito
@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business.,-33.407655239053,negative,B,Virgin America,Pacific Time (US & Canada)
@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,-14.4337567297406,negative,B,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best!",22.3606797749979,positive,D,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH",0,neutral,C,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd",0,neutral,C,Virgin America,Central Time (US & Canada)
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8",0,neutral,C,Virgin America,Central Time (US & Canada)
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5",0,neutral,C,Virgin America,Central Time (US & Canada)
@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,0,neutral,C,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",16.6666666666667,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,83.9563516446581,positive,E,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",23.7170824512628,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,0,neutral,C,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",-14.4337567297406,negative,B,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",90.8688222502243,positive,E,Virgin America,Eastern Time (US & Canada)
@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,-17.6776695296637,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica Another delayed flight?,-37.5,negative,B,Virgin America,Alaska
@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,24.2535625036333,positive,D,Virgin America,Pacific Time (US & Canada)
@virginamerica you ROCK for making it so I can watch #Oscars on my flight!!,0,neutral,C,Virgin America,Mountain Time (US & Canada)
@VirginAmerica always!!! Xoxo,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety!,0,neutral,C,Virgin America,Eastern Time (US & Canada)
@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo,29.824045403173,positive,D,Virgin America,Alaska
@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,0,neutral,C,Virgin America,Eastern Time (US & Canada)
@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,73.4846922834954,positive,E,Virgin America,Eastern Time (US & Canada)
@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,46.9168464007384,positive,D,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",-21.4330352493528,negative,B,Virgin America,Pacific Time (US & Canada)
@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,-16.0356745147455,negative,B,Virgin America,Pacific Time (US & Canada)
@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,24.5373864405591,positive,D,Virgin America,Eastern Time (US & Canada)
.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,-31.9801074533416,negative,B,Virgin America,Pacific Time (US & Canada)
.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,21.650635094611,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,44.3760156980183,positive,D,Virgin America,Atlantic Time (Canada)
@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),20.4124145231932,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,-31.6227766016838,negative,B,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",-17.7878118384471,negative,B,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",0,neutral,C,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",-28.2842712474619,negative,B,Virgin America,Eastern Time (US & Canada)
@virginamerica why don't any of the pairings include red wine?! Only white is offered :(,-18.9736659610103,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,-4.36435780471985,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,15,positive,D,Virgin America,Sydney
@VirginAmerica Is it normal to receive no reply from Central Baggage,0,neutral,C,Virgin America,Irkutsk
@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,0,neutral,C,Virgin America,Eastern Time (US & Canada)
@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,0,neutral,C,Virgin America,Sydney
"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",0,neutral,C,Virgin America,Sydney
@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,0,neutral,C,Virgin America,Sydney
"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",27.7350098112615,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week,0,neutral,C,Virgin America,Eastern Time (US & Canada)
@VirginAmerica I'd love to know what your policy is for damaged luggage.,7.21687836487032,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica Thank you for the follow,20.4124145231932,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica @TTINAC11 I DM you,0,neutral,C,Virgin America,Mountain Time (US & Canada)
@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,35.3553390593274,positive,D,Virgin America,Arizona
@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,-20.8012573584461,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,-25.298221281347,negative,B,Virgin America,Central Time (US & Canada)
😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,0,neutral,C,Virgin America,Caracas
@VirginAmerica Only way to fly!,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica If only you guys had flights from CMH.,0,neutral,C,Virgin America,Quito
@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,-21.650635094611,negative,B,Virgin America,Mountain Time (US & Canada)
@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,-45.2267016866645,negative,B,Virgin America,Central Time (US & Canada)
@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,0,neutral,C,Virgin America,Eastern Time (US & Canada)
@VirginAmerica thanks!,42.4264068711928,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica Just DM'd. Same issue persisting.,0,neutral,C,Virgin America,Atlantic Time (Canada)
@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,18.3532587096449,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica trying to book a flight &amp; your site is down 😁,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,3.33333333333333,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,-28.8675134594813,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica Your website is down and I'm trying to check in!,0,neutral,C,Virgin America,Atlantic Time (Canada)
"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",0,neutral,C,Virgin America,Central Time (US & Canada)
@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,-42.9892652074553,negative,B,Virgin America,Central Time (US & Canada)
@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,23.7170824512628,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica Keep up the great work :),30.6186217847897,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now?,34.7850542618522,positive,D,Virgin America,Central Time (US & Canada)
@VirginAmerica seats in Row 8 don't recline should mention that on your website,-17.3205080756888,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,-39.5284707521047,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,0,neutral,C,Virgin America,Eastern Time (US & Canada)
@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,-10.9108945117996,negative,B,Virgin America,Central Time (US & Canada)
"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",14.142135623731,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled?,60,positive,E,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",-32.659863237109,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,-39.7747564417433,negative,B,Virgin America,Santiago
@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,-16.681153124566,negative,B,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica it’s just a bug report, guys",-17.6776695296637,negative,B,Virgin America,Pacific Time (US & Canada)
@VirginAmerica hold times at call center are a bit much,7.90569415042095,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica Like http://t.co/VPqEm31XUQ,18.8982236504614,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica Site down?,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,31.8198051533946,positive,D,Virgin America,Pacific Time (US & Canada)
"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",60,positive,E,Virgin America,Caracas
@VirginAmerica thanks so much!,54,positive,E,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica Trying to reset my password, email never arrives. Help?",0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica Very nicely done. 👏,90,positive,E,Virgin America,Eastern Time (US & Canada)
@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),26.7261241912424,positive,D,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",-21.3808993529939,negative,B,Virgin America,Arizona
@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,37.6889180722205,positive,D,Virgin America,Alaska
@VirginAmerica sounds like fun !,62.5,positive,E,Virgin America,Pacific Time (US & Canada)
@VirginAmerica any updates on flight 413 from Jfk &gt; Lax,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@virginamerica spruce moose!,0,neutral,C,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",51.9615242270663,positive,E,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?",0,neutral,C,Virgin America,Eastern Time (US & Canada)
"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",-60.1337794302955,negative,A,Virgin America,Santiago
@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,37.7123616632825,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ,-17.6776695296637,negative,B,Virgin America,Pacific Time (US & Canada)
@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.,-54.9153194262977,negative,A,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",21.1057941204435,positive,D,Virgin America,Central Time (US & Canada)
@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸,42.4264068711928,positive,D,Virgin America,Pacific Time (US & Canada)
"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",2.58198889747161,positive,D,Virgin America,Sydney
@VirginAmerica any plans to start flying direct from DAL to LAS?,3.01511344577764,positive,D,Virgin America,Central Time (US & Canada)
"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!",21.5,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica Grand Budapest Hotel,25,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.,-18.8982236504614,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,-45.2476278503852,negative,B,Virgin America,Pacific Time (US & Canada)
@VirginAmerica there is something wrong with you website in Safari iPhone,-22.6133508433323,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica Already checked in so the page expired :X,-16.6666666666667,negative,B,Virgin America,Pacific Time (US & Canada)
@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,13.4164078649987,positive,D,Virgin America,Central Time (US & Canada)
@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y,9.03696114115064,positive,D,Virgin America,Sydney
@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,12.1267812518166,positive,D,Virgin America,Arizona
@VirginAmerica I see what you did there ;),0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica way to take advantage of #MayweatherPacquiao :),28.347335475692,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica you know I'm flying virgin for the fight,9.25185853854297E-16,positive,D,Virgin America,Central Time (US & Canada)
"@VirginAmerica moved my seat with no notice. \\\""Better seat\\\"" is cabin select not behind the row I selected👎",0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,9.70725343394151,positive,D,Virgin America,Sydney
👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,3.16227766016838,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.,3.33333333333333,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase,-16.3663417676994,negative,B,Virgin America,Quito
@VirginAmerica Thank you!!,28.8675134594813,positive,D,Virgin America,Eastern Time (US & Canada)
@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!,0,neutral,C,Virgin America,Eastern Time (US & Canada)
@VirginAmerica I need you to follow back in order to DM.,0,neutral,C,Virgin America,Eastern Time (US & Canada)
@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.,0,neutral,C,Virgin America,Pacific Time (US & Canada)
@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,0,neutral,C,Virgin America,Eastern Time (US & Canada)
@VirginAmerica what is your policy on flying after surgery?,3.33333333333333,positive,D,Virgin America,Pacific Time (US & Canada)
@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg,0,neutral,C,Virgin America,Sydney
"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!",-10.914103126635,negative,B,Virgin America,Eastern Time (US & Canada)
@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I,52.7644853011086,positive,E,Virgin America,Sydney
"@VirginAmerica I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application.",14.142135623731,positive,D,Virgin America,Pacific Time (US & Canada)
