,airline_sentiment,airline,text,user_timezone
151,negative,Virgin America,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,Pacific Time (US & Canada)
152,neutral,Virgin America,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,Atlantic Time (Canada)
153,positive,Virgin America,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),Pacific Time (US & Canada)
154,neutral,Virgin America,@VirginAmerica is your website ever coming back online?,NA
155,neutral,Virgin America,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",NA
156,neutral,Virgin America,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,NA
157,neutral,Virgin America,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,NA
158,negative,Virgin America,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,Pacific Time (US & Canada)
159,negative,Virgin America,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,NA
160,negative,Virgin America,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",Pacific Time (US & Canada)
161,negative,Virgin America,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",Eastern Time (US & Canada)
162,negative,Virgin America,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",Eastern Time (US & Canada)
163,negative,Virgin America,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,Eastern Time (US & Canada)
164,negative,Virgin America,@VirginAmerica is the website down?,NA
165,negative,Virgin America,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,NA
166,negative,Virgin America,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,Eastern Time (US & Canada)
167,neutral,Virgin America,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,Sydney
168,negative,Virgin America,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,Irkutsk
169,negative,Virgin America,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,Eastern Time (US & Canada)
170,neutral,Virgin America,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,Sydney
171,neutral,Virgin America,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",Sydney
172,neutral,Virgin America,@VirginAmerica Lister to my show my on Monday 1230 130,NA
173,neutral,Virgin America,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,Sydney
174,negative,Virgin America,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",Eastern Time (US & Canada)
175,negative,Virgin America,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,Eastern Time (US & Canada)
176,neutral,Virgin America,@VirginAmerica I'd love to know what your policy is for damaged luggage.,Pacific Time (US & Canada)
177,positive,Virgin America,@VirginAmerica Thank you for the follow,Eastern Time (US & Canada)
178,negative,Virgin America,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,NA
179,negative,Virgin America,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,NA
180,neutral,Virgin America,@VirginAmerica @TTINAC11 I DM you,Mountain Time (US & Canada)
181,neutral,Virgin America,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,Arizona
182,negative,Virgin America,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,Eastern Time (US & Canada)
183,negative,Virgin America,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,Central Time (US & Canada)
184,positive,Virgin America,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,Caracas
185,positive,Virgin America,@VirginAmerica Only way to fly! #Elevate #Gold,Pacific Time (US & Canada)
186,neutral,Virgin America,@VirginAmerica If only you guys had flights from CMH.,Quito
187,negative,Virgin America,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",NA
188,negative,Virgin America,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,Mountain Time (US & Canada)
189,neutral,Virgin America,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,Central Time (US & Canada)
191,neutral,Virgin America,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,NA
192,negative,Virgin America,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business,Eastern Time (US & Canada)
193,negative,Virgin America,@VirginAmerica you suck!,NA
194,positive,Virgin America,@VirginAmerica thanks!,Pacific Time (US & Canada)
195,negative,Virgin America,@VirginAmerica Just DM'd. Same issue persisting.,Atlantic Time (Canada)
196,negative,Virgin America,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,Eastern Time (US & Canada)
197,negative,Virgin America,@VirginAmerica trying to book a flight &amp; your site is down 😁,Pacific Time (US & Canada)
198,negative,Virgin America,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,Eastern Time (US & Canada)
199,negative,Virgin America,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,Eastern Time (US & Canada)
200,positive,Virgin America,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,NA
201,negative,Virgin America,@VirginAmerica Your website is down and I'm trying to check in!,Atlantic Time (Canada)
202,positive,Virgin America,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",Central Time (US & Canada)
203,neutral,Virgin America,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,Central Time (US & Canada)
204,positive,Virgin America,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,Eastern Time (US & Canada)
205,positive,Virgin America,@VirginAmerica Keep up the great work :),Pacific Time (US & Canada)
207,positive,Virgin America,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,Central Time (US & Canada)
208,neutral,Virgin America,@VirginAmerica can you please get me to the new york area before monday afternoon,NA
209,positive,Virgin America,"@VirginAmerica Thanks so much for the awesome support, you guys rock!",NA
210,negative,Virgin America,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback,Eastern Time (US & Canada)
211,negative,Virgin America,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,Eastern Time (US & Canada)
213,positive,Virgin America,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,Eastern Time (US & Canada)
214,negative,Virgin America,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,Central Time (US & Canada)
216,neutral,Virgin America,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",Pacific Time (US & Canada)
217,negative,Virgin America,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin",Pacific Time (US & Canada)
218,negative,Virgin America,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,Eastern Time (US & Canada)
219,negative,Virgin America,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",Eastern Time (US & Canada)
220,negative,Virgin America,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,Santiago
221,negative,Virgin America,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh,Pacific Time (US & Canada)
222,negative,Virgin America,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,Pacific Time (US & Canada)
223,positive,Virgin America,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,NA
224,positive,Virgin America,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,NA
225,negative,Virgin America,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,NA
226,neutral,Virgin America,"@VirginAmerica it’s just a bug report, guys",Pacific Time (US & Canada)
227,negative,Virgin America,@VirginAmerica hold times at call center are a bit much,Pacific Time (US & Canada)
228,positive,Virgin America,@VirginAmerica Like http://t.co/VPqEm31XUQ,Pacific Time (US & Canada)
229,negative,Virgin America,@VirginAmerica Site down? #help,Pacific Time (US & Canada)
230,positive,Virgin America,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,Pacific Time (US & Canada)
231,positive,Virgin America,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",Caracas
232,positive,Virgin America,@VirginAmerica thanks so much!,Eastern Time (US & Canada)
233,negative,Virgin America,"@VirginAmerica Trying to reset my password, email never arrives. Help?",Pacific Time (US & Canada)
234,positive,Virgin America,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9",NA
235,positive,Virgin America,@VirginAmerica Very nicely done. 👏,Eastern Time (US & Canada)
236,positive,Virgin America,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),Eastern Time (US & Canada)
237,negative,Virgin America,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,NA
238,negative,Virgin America,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",Arizona
239,positive,Virgin America,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,Alaska
240,positive,Virgin America,@VirginAmerica sounds like fun !,Pacific Time (US & Canada)
241,neutral,Virgin America,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax,Pacific Time (US & Canada)
242,neutral,Virgin America,@virginamerica spruce moose!,Eastern Time (US & Canada)
243,negative,Virgin America,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",Eastern Time (US & Canada)
