"Response","tweets"
"neutral","ios 12 2  iphone tips  tricks  and shortcuts you need to know   zdnet https   t co oycijbugep  ios  iphone  tips  https   t co pwjfbccuib"
"positive","just learned we are in 2019 and apple is still shipping iphones with 5v chargers    wow      apple  iphone  samsung  airpower"
"positive","rt  striderzet  so  if you have an  iphone  like  indie  mobilegame  puzzles    retweet this one and definitely  download it  it s great st "
"positive","rt  genesqueen1      check out casemate sheer crystal  phonecase new 2018  iphone 6 5  brand new  glitter clear https   t co waymrss04r   e "
"positive","rt  itgurusatl  why google is successful search engine   read here   https   t co afpng6liz8  googlepixel  pixel  teampixel  google  photog "
"positive","new leak suggests that the iphone 11 and iphone 11 max might be thinner with a bigger screen  iphone  leak  https   t co tfduycffy7"
"positive","rt  genesqueen1      check out case mate gilded tempered screen protector  iphone 6 plus 6s plus 7 plus 8 plus https   t co otfqva9n1x   eb "
"positive","https   t co kfhotzlkmr   iphone xe to be manufactured in india   apple can survive if priced similar to mid range  https   t co hot0qyr3nf"
"positive","rt  davewallisphoto  doesn t this look like fun   block9fargo concrete finishing one of the floors of the new 18 story building  fargo  dow "
"neutral","rt   korke   tweak   autoblue  2 0 0      disables bluetooth and wifi after a certain amount of time if there are not connected  and more   "
"positive","love  tattoo  art   blogger  iphone  ios10  texting  imessage  imessageapp  imessagesticker  texting https   t co nwkz7sms7v"
"positive","any pokemon go players here  today we ll show you 7 ways to fix the pokemon go gps signal not found issue on iphone  https   t co 84ly4i1lox"
"positive","it s april 08  2019 at 09 45am  good morning unlocker  we unlock all  apple  iphone 7   7 plus  sprint  tmobile  att instantunlock  nfb"
"positive","rt  gaultierchantal  dear  americans  it is not time to prepare for  easter celebrations  nor to sit in front of the tv  or buy a new  ipho "
"neutral","purple psychedelic  owl  iphone 5 cover https   t co wjrsqdwvd0"
"positive","rt  cellcrazy  sell your phone for cash    get your free valuation here   https   t co 22hvhrcm2o   iphone  samsung  android  buymyphone  s "
"positive","                   photo   137 gran    kyoto  cherryblossom  spring  sunny  beautiful  place  sight  pink  white  https   t co 9ant8znlwh"
"positive","rt  devansh92139903  visit my website  https   t co 3xyxnmil1d like share and subscribe for latest updates   website  share  business  news "
"positive","rt  gsbimagesmbusch  good morning    timelapse  iphone  florida  sunrise     stormhour  jimcantore  spann  usasunrise  wptv  earthandclouds "
"neutral","i now own an  iphone xs max   https   t co ozpn8dg9lw"
"negative","hackers  thieves and independent repair companies are finding ways to unlock icloud from iphones    read more   https   t co bq1f4pfxuk"
"negative","hackers  thieves and independent repair companies are finding ways to unlock icloud from iphones    read more   https   t co x1flg2q050"
"positive","maya collection    booklet  original  hdwallpaper for  phone  new series is coming soon https   t co xsdfg3xcjw  https   t co phddbl9d5u"
"positive","   techynology  computers and  accessories   visit here      https   t co ff1f968cmr    online  store of technology  https   t co dgwkvtzpaw"
"positive","12 really good reasons to buy  clever clogs   https   t co juv6tdyreh   learn  learning  infants  children  https   t co vt2xwlqn4s"
"neutral","are you a  mom   blogger  iphone  ios10  texting  imessage  imessageapp  imessagesticker  text https   t co xtuztv4whj"
"neutral","updated area calculator app https   t co xzqzroyd9b  math  techtalk  iphone  ipad  mathchat  tech  geometry  algebra  edtech  edchat"
"positive"," ios  tips  a handy little features of the  applewatch is the ability to mute alerts by covering the watch face for  https   t co 1b1pitkzap"
"negative"," iphone rumors now claim two oled models with triple camera arrays for 2019 https   t co n0yvnkfml6 https   t co 5hspfziw42"
"positive","why google is successful search engine   read here   https   t co afpng6liz8  googlepixel  pixel  teampixel  google  https   t co xsl5nmbg8l"
"positive","rt  fresk0        wallpapers  iphone    celestial beam  wallpaper for      iphonexsmax    iphonexs    iphonex    iphonexr   all other  ipho "
"positive","   online games       e onlinegames  com       play number of free  online  games    action   sports   puzzle    https   t co 7mrxmw8pu1"
"positive","love this feature of the  iphone   https   t co 5rhqwqtkvk"
"neutral","honduras map painting printed iphone cases and covers   https   t co s4kmuxmyvr   honduras  hondurasmap  https   t co aadefmza41"
"positive","get 25  off everything   decor  unique  design by kathrinmay https   t co gnzlhal64m via  society6  society6  https   t co cgdrrgbmaf"
"positive","dear  americans  it is not time to prepare for  easter celebrations  nor to sit in front of the tv  or buy a new  https   t co emiuzq2qis"
"positive","so  if you have an  iphone  like  indie  mobilegame  puzzles    retweet this one and definitely  download it  it s  https   t co g9ga4dcavn"
"positive","rt https   t co casgx3qw9y rt  daygadgetlife  do you know what it s like to have almost everything at the palm of y  https   t co 4dwrkvnc81"
"positive","rt https   t co jmbtuntfdw rt  daygadgetlife  do you know what it s like to have almost everything at the palm of y  https   t co irvegvkm7m"
"positive","rt https   t co rnajiyco8s do you know what it s like to have almost everything at the palm of your hands   gadget  https   t co wfq5o4tk3x"
"positive","great new quadratic calc app https   t co l6xgk2ed4y  math  techtalk  iphone  ipad  mathchat  teachers  tech  https   t co tfvifhm2wl"
"positive","82  of teens surveyed now own an  iphone  84  plan to purchase https   t co ztdgeqxaeu"
"positive","rt  claw shop  protect your  phones and keep them looking cool with  cases from https   t co bblyoayadd  get cases that match your style  "
"positive"," best liquid glitter case  iphone xs liquid glitter case  iphone liquid glitter case https   t co sapxuqpojr https   t co ghqtx0zm78"
"negative"," iphone rumors now claim two oled models with triple camera arrays for 2019 https   t co hbmzxmfxvo"
"neutral"," speaker  stand echo  alexa and  iphone wood  bamboo  holder  smartphones accessories  https   t co rumrtau2al pric  https   t co mx2vuxwk9r"
"neutral","si  apple est fort en privacy marketing  il est aussi fort pour pister ses utilisateurs et leurs  iphone   your iph  https   t co 96yn2bkpm1"
"positive","apple s  courage  to remove the headphone jack has created a brave new world https   t co pla6l1fu9w  apple  iphone  tech"
"positive","check out our new  phone cases   we re adding at least 20 new designs a week     iphone  case  samsung  xddesigns  https   t co pz0vqam4y3"
"positive","anyone confused       updated 12 2 and now at amp t is acting like they on the 5g network  found out it s just cosmetic  https   t co l4ft03st6c"
"positive","protect your  phones and keep them looking cool with  cases from https   t co bblyoayadd  get cases that match your  https   t co jpgfxeslgn"
"positive"," manga  onepiece  anime  iphone onepiece wallpapers  fine pics for your iphone  https   t co ny7tckpv9x https   t co u5gw4bk6ep"
"positive","  hasnainsayss omg looking more beautiful  iphone       "
"positive","rt  appleinsider  a newly published survey of 8 600 u s  teens found that a higher number than ever  86 percent  are hoping to make  apple  "
"neutral","selfie stick tripod  ubeesize 51  extendable tripod stand with bluetooth remote for iphone  amp  android phone  heavy d  https   t co gsdadstw7r"
"neutral","updated pythagorean calc  app https   t co jizwqhioai  math  techtalk  iphone  ipad  mathchat  teachers  tech  https   t co whiclos924"
"positive","perfect pool for gamers  technology  tech  iphone  business  innovation  future  instatech  startup  geek  apple  https   t co tienfoev3p"
"negative","get the products you want today for a small weekly fee  tv s  washingmachines  cookers  beds  settees  ps4  iphone https   t co ezei8k4tfb"
"negative","get the products you want today for a small weekly fee  tv s  washingmachines  cookers  beds  settees  ps4  iphone https   t co 7jjlnxvsdb"
"negative","2 students allegedly cheated apple out of nearly  900 000 in fake iphone scheme https   t co qhciqtugbh   apple  https   t co aydv4ni4pw"
"negative"," iphone rumors now claim two oled models with triple camera arrays for 2019  theverge https   t co naeoj9uont  apple https   t co bxqqujmorl"
"neutral","https   t co t7ibnb8crq  are you running out of space for your ios device  here are few tips for you   iosdevice  https   t co lnukwerjvn"
"positive","setup apple watch on your new iphone  https   t co uqdurxvt4a  applewatch  applewatchseries4  iwatch  iphone  https   t co wun0g4oyyp"
"neutral","rt  irongalldesign  russian blue  cat staring tough  iphone 6 plus  case  https   t co ytql8tyybj https   t co 6xhslfu5i2"
"negative","digital marketing tips    update your  business details on  yelp    digitalmarketing  socialmedia  https   t co 5179w0eceh"
"positive"," 2019  iphone lineup rumored to include two new oled models with triple lens cameras  via  theappletree  https   t co 3rcvv4gkv1"
"positive","we are selling the iphone x casing which have the freaking nice quality and beautiful design  the price is affordab  https   t co jxen6hv1wy"
"neutral","rt  applezein  apple dock magnetico apple watch   recensione completa https   t co 9qyj1lrkex  iphone  iphonex  apple  ios  applenews  appl "
"neutral","if it s happening  then i am waiting for it     iphone  iphonexe a replacement for all the folks using apple 4 inch  https   t co 9gkxy7wep7"
"positive","rt  queenofsunflo   ichigo  kurosaki  rukia  kuchiki  anime for apple  iphone new users can get a us  4  coupons https   t co zgzjnumqka ht "
"negative","new  video  how to switch smartphones without losing data  iphone to android and vice versa https   t co 7tcmgvij9o  https   t co jempf9umk4"
"positive","rt  takeaphoto2011  nice to see you  again  cherprang bnk48official   special thx  voravat h  phoenixcz    bnk48  cherprangbnk48  snapshot "
"positive","rt  dycebeats   fun  music  iphone  itunes  download  ringtones  beatsforsale   phone  trapmusic  trapbeats  hiphop  beats  rap  streetrap "
"positive","mobi4u    iphone 8 plus   128gb   5   with box shop receipt  12 month warranty  amp all networks        mobi4u  bolton  https   t co dkey6qtcox"
"positive","  iphone 8 plus   128gb   5   with box shop receipt  12 month warranty  amp all networks        imfixed bolton  bolton  https   t co qfjbu3rs8d"
"positive","a newly published survey of 8 600 u s  teens found that a higher number than ever  86 percent  are hoping to make  https   t co yjwzctlepb"
"positive"," school math can be tough  take your  kids math from an awww to a yeah  get them ahead of class by learning  math t  https   t co alkur3jtcp"
"positive","a newly published survey of 8 600 u s  teens found that a higher number than ever  86 percent  are hoping to make  https   t co sc7gwlsayb"
"positive","a newly published survey of 8 600 u s  teens found that a higher number than ever  86 percent  are hoping to make  https   t co jczyjt2mr0"
"negative","cacoteo radio no app needed to listen visit https   t co 85q6anhlc8 and hit play  iphone  android listen anywhere n  https   t co 9w6xjor6fz"
"positive"," angry  birds  free  app apes review  https   t co nspvwqs8br  apple  free  ios  ipad  iphone"
"positive","stop everything  there s a red iphone 7 now  there s some ipad news too  but let s be honest  we re here for the ip  https   t co v1v2x76qan"
"positive","rt  lineofdutyuk  who would like to  win an  ipadpro  1  like our page 2  retweet this post 3  type  done  in the comments      giveaway  c "
"neutral","idk what i m doing these dayzzzzz   someone take me away from this town place this weekend plzzzz       smino  hike  https   t co bgfq1jy1lo"
"positive","rt  hyrdagiveaways  speed iphone xr giveaway      follow us    like  amp  rt  vaintunity recent     tweet    comment  done  when complete   end "
"positive","iphone se 5s custom cell phone case featuring the afrofuturistic artistic stylings of the acid jazz guitarist   https   t co 2xq2hqquf4"
"negative","rt  nradioapp  i am listening to  tony moran nile rodgers   my fire  tony moran bissen video edit    avradio        https   t co bvby5gdaje "
"positive"," dream11 hi  would it not be possible to view the playing xi in dream 11  ios  iphone "
"negative","episode 18 is finally here and it covers so much  we had to split it in two  so here s part one where the guys talk  https   t co on0pikjrte"
"negative"," androidpie is a mess  there s no way to remove the bottom app icons on the background app screen  and to get the c  https   t co 7jas2px8ko"
"positive","rt  pattijadkins  name  tulip bloom rising case mate  iphone case https   t co igf9moa45y via  zazzle  flowers  giftsforher  phonecases  na "
"negative","https   t co kqjd07gobs dark grey gravel mandala iphone se 5 5s case for  27 60  zazzle  casedesign  phone  https   t co ixxatzadln"
"positive","grab your old  new mobile from one of the most trusted old mobile seller  exchangemobi with emi option with bajaj f  https   t co fmygfrdfhb"
"neutral","get  universe  nebula  galaxy  space  stickers text  blogger  iphone  ios10  imessage  imessageapp  imessagesticker https   t co cpdzuo1zmr"
"negative","kissed by sunlight  sakura  cherryblossoms  photography  iphone  iphone6 https   t co 96jxl6nl2h cases https   t co 40bs72a3e2"
"positive","prepared for  school  get your  kids ahead of the class by having them learn their  math tables on  iphone ipad   https   t co puzlifc095"
"positive","rt  cstorenews    iphone  samsung looking for amazing mobile marketing facts then this one is for you   digitalmarketing  mobilemarketing   "
"positive","how to schedule  do not disturb  to turn off when you leave a location https   t co n3jpoajgke via  wonderoftech  https   t co rfqcgtuwfz"
"positive","rt  daygadgetlife  do you know what it s like to have almost everything at the palm of your hands    gadget  technology  tech  gadgets  iph "
"positive","check out tweet garage  a handy app that tweets for you while you sleep or do something else  save up to 25 tweets   https   t co avtpfsmzsm"
"negative"," huawei keep eyes on  iphone 11 rumors to copy it  "
"positive","do you know what it s like to have almost everything at the palm of your hands    gadget  technology  tech  gadgets  https   t co zkaphh3pzb"
"positive","   online games       e onlinegames  com       play number of free  online  games    action   sports   puzzle    https   t co cdirnlu6dh"
"positive","rt  device world1  full 3d 9h glass screen protector for samsung galaxy note9 note8      0202024981 50 cedis pickup delivery available  sit "
"positive","rt  fit5p  check out this super saying   retweet if you agree  health  workout  diet  fit  fit5  healthy  iosapps  app  appstore  iphone  i "
"positive"," giveaway   ipad  wifi mouse pro   3 99 to free  on https   t co bsi7ojaqex get the paid app for  free  today only  https   t co 5pemfgw0zq"
"neutral","rt  rajkumar rr  https   t co vbl3yi0mqh how to answer calls automatically by putting your iphone up to your ear    howtoanswercallsautomat "
"positive","isn t it awesome   visit our webite  https   t co nyjni35t1v   tech  gadgets  technology  case  android  iphone  https   t co rxjm6smj8b"
"neutral","rt  rajkumar rr  https   t co a8fqxafexr how to use 10 fingers for touch id on your iphone  howtouse10fingersfortouchidonyouriphone  use10f "
"positive","rt  cellcrazy  save yourself some money with us and purchase a second hand iphone 7 plus   the refurbished iphone 7 plus comes with a 180 d "
"neutral","make sure u download my  itsapartyradio app on your  andriod or  iphone  https   t co vdtdmm0w4z  itsaparty  https   t co 0gkzojerge"
"positive","check out this super saying   retweet if you agree  health  workout  diet  fit  fit5  healthy  iosapps  app  https   t co 2ld19uaawf"
"positive","the new  iphone update 12 2 ruined the music player on my phone  thanks   apple  applemusic  apple"
"positive"," android v  ios 2019  ios is no longer sweden s most popular mobile os  but  iphone popularity continues to grow in  https   t co t0aou5nk7q"
"neutral","apple dock magnetico apple watch   recensione completa https   t co 9qyj1lrkex  iphone  iphonex  apple  ios  https   t co 50a4t6oerr"
"neutral","apple dock magnetico apple watch   recensione completa https   t co yvgonvlgwb  iphone  iphonex  apple  ios  https   t co fcuslox1q5"
"positive"," gadgetstore  iphone  pets  wireless  petsitem  bestlifestyle  viral  trending z4 3d virtual reality glasses https   t co abkdskqqdn"
"positive","laughing along with my nin aventures    friend  paris  parisian  throwback  lastweek  thursday  happymood  marais  https   t co vqmostt8z1"
"positive","limited offer  clean like new  pre owned iphone 7    32gb     n93k 128gb  n108k    call whatsapp  09090973868 deliv  https   t co g2x64g2eak"
"positive"," iphone  app  lottory  money i analized the past megamillions numbers  i found rule of the figures  check on iphone  https   t co zesht3rvtx"
"positive","rt  punidr  today  thanks  junesiphone for screenshot x   jailbreak  monday  nosleepteam  custom  apple  iphone  design https   t co lalpi7 "
"positive","found this with prayers  amp  blessings daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co bifehwqksy"
"negative","imagic trick  app for the iphone and apple watch   video  applewatch  magic https   t co iy4xalerod  iphone  watch"
"neutral","redefine your smartphone experience with the latest  samsung galaxy s10   call  08140000114 https   t co reb1mdampw  https   t co 5pyad195ug"
"negative","two chinese engineering students face criminal charges over  1m apple scamming  theneolife  chinese  https   t co pp2m1ra8kk"
"neutral","price drop   domino for iphone  on sale for  iphone  ipad  1 99  gt  gt   0 99 https   t co dk3r8dngfd https   t co czy7vlbi2a"
"positive"," macrumors  waxeditorial i don t think  apple will install that kind of rear  camera for a new generation of  iphone "
"negative"," theapplehub i don t think  apple will install that kind of rear  camera for a new generation of  iphone  it s too ugly"
"neutral","tree  tuscany  italy  lonetree  mykindatree  loveitaly  iphone https   t co kul5zcm04a"
"positive"," apple  applesupport  please can you fix  autocorrect changing real words to other real words on  iphones  it s inf  https   t co xpsg71taio"
"positive","rt  ilounge  iphone 11 and apple watch series 5 might get an air quality monitoring feature  iphone  iphone11  applewatchseries5  apple  ap "
"positive","still hope  apple will return with a smaller size  iphone      iphonese"
"positive","iphone 11 and apple watch series 5 might get an air quality monitoring feature  iphone  iphone11  applewatchseries5  https   t co kiwtjnqdws"
"positive","rt  igeeksblog  complete guide to use  applenews app on  iphone and  ipad https   t co wxgvzpdj4u"
"positive","rt  igeeksblog  here s how to clear  applenews history on  iphone   ipad  and  mac https   t co hqgqobymcv https   t co rmpfsbqnmy"
"positive"," bible verse found with prayers  amp  blessings daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co x5hm7p7icq"
"positive"," bible verse found with identity in christ daily by  roboticode for  android  iphone  kindle   dailyinspiration"
"negative","rt  iamnotified  make it harder for snoopers  identity theft and hackers to hack your account  know the importance of two factor authentica "
"negative","anyone knows what this error is   iphone  cocoaerror https   t co ohiqqqgf54"
"positive","love  horses  get horses    glitter  sticker   app  blogger  iphone  ios10  imessageapp  imessagesticker  imessage https   t co s818rolsny"
"positive","rt  radim kacer  maya collection   abstract  wallpaper  original  hdwallpaper for  phone  new series is coming soon https   t co xsdfg3xcjw "
"negative"," medium series  explode your readership   via  smedian network     medium  blog  writing  snapchat  instagram  https   t co k6ojkzp8n2"
"positive","rt  device world1  leather flip case for iphone xs x 8plus 7plus 6plus      0202024981 60cedis pickup delivery available  site15  iphone  g "
"positive","rt  device world1  usams bob series leather case for iphone 8plus 7plus 6plus      0202024981 55 cedis pickup delivery available  site15  i "
"negative","as  apple continues to delay its first  5g  iphone pundits are wondering when it will actually become a reality  https   t co fddaaveqq1"
"positive","full 3d 9h glass screen protector for samsung galaxy note9 note8      0202024981 50 cedis pickup delivery available  https   t co lnjjeon7wm"
"positive","new  flutter app    nexusapp   digital organizer     android  iphone https   t co hyaqstrjcf"
"positive","rt  dailyfinds4u  otterbox case apple iphone cases   flag of the united kingdom  zazzlemade       https   t co ef18kiaixm via  zazzle  engl "
"neutral","rt  dailyfinds4u  otterbox case apple iphone cases   usa flag      https   t co 0jezyn0ly4 via  zazzle   usa  otterbox  apple  iphone  zazz "
"negative","make it harder for snoopers  identity theft and hackers to hack your account  know the importance of two factor aut  https   t co aigzw94hsm"
"positive","rt  cellcrazy  iphone 7   from  249 99    325 00 depending on gb option   see link for further details   https   t co ehg19kvkxj    iphone "
"negative","cacoteo radio no app needed to listen visit https   t co 85q6anhlc8 and hit play  iphone  android listen anywhere n  https   t co ekmusemob5"
"positive"," get your majestic  birds  stickers   blogger  iphone  ios10  texting  imessage  imessageapp  imessagesticker  text https   t co gf5otjwh2c "
"positive","apple s china problem solved   name the next iphone  11  the iphone xi after china s leader xi jinping and china wi  https   t co ad54plbarm"
"positive","good morning    timelapse  iphone  florida  sunrise     stormhour  jimcantore  spann  usasunrise  wptv  https   t co nlscos1rym"
"positive","rt  avancohear  the avanco hear   affordable bluetooth hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  gadgets   "
"neutral","kabegamibox is wallpaper gallery for smartphone   wallpaper  iphone  android kabegamibox https   t co xafhxk8tnp"
"positive","rt  dailyfinds4u  apple  iphone 6s 64gb unlocked  smartphone  gsm only  at amp t t mobile   rose gold  certified  refurbished   https   t co iw "
"neutral","rt  planexitoso   things that did not exist 15 years ago  today    uber   airbnb   snapchat   bitcoin   spotify   siri   google   chrome    "
"positive","apple watch user guide  amp  tutorial   apple watch basics   https   t co u5jmdyrzmt  applewatch  applewatch4  https   t co uiuorxp2lo"
"neutral","is your phone listening to you  an experiment https   t co ooibnnp4au  phone  apps  ads  advertising  marketing  https   t co dpovp31hxi"
"positive","  kings  queens  heroes  and fools   book two of the wardstone trilogy now on  kindleunlimited  kindle  https   t co 43qmbsal0p"
"positive","rt  blogosum   deals  244 99 usd   apple iphone 7 a1778 128gb gsm unlocked  very good https   t co d5p36egtnz  ebay  amazon  discount  deal "
"negative","rt  mudiwagavz  as with  airpower  i think at some point  apple and  tim cook need to concede that removing the headphone jack from the  ip "
"positive"," deals  244 99 usd   apple iphone 7 a1778 128gb gsm unlocked  very good https   t co d5p36egtnz  ebay  amazon  https   t co fiambohxeg"
"negative","as with  airpower  i think at some point  apple and  tim cook need to concede that removing the headphone jack from  https   t co frkbmxncww"
"negative","imagic trick on the  appstore https   t co vujmyshcfn  magic for the  iphone   ipad and  applewatch"
"neutral","broke your  iphone while watching  ipl2019 match  looking for best  iphone service center in  mumbai  call 022 4345  https   t co nshcn6kpec"
"positive","new wallpaper added to  iphone wallpapers   apple  iphone  wallpaper https   t co dt9s5ot2a6"
"negative","rt  nickaesp  one of these iphones is counterfeit  it was one of many that was used to rip off  apple for almost  1 million in a warranty r "
"positive","applemusic  apple  news  iphone  ipad  ios9 3  beta1 2019 iphone lineup rumored to include two new models with trip  https   t co cbivrxaqfl"
"positive","iphone  amp  ipad app price drops   april 8  2019 https   t co acfex4kxs5  apps  deals  new  sale  free  iphone  ipad https   t co 1mfdyqrfhi"
"positive","iphone  amp  ipad apps gone free   april 8  2019 https   t co eboitcaxms  apps  deals  new  sale  free  iphone  ipad https   t co b6ctiypgna"
"positive","newly released iphone  amp  ipad apps   april 8  2019 https   t co fuza91j965  apps  deals  new  sale  free  iphone  https   t co epxsmd8pic"
"negative","   oh firebase  it s getting into my nerves now       appdev  appdevelopment  androiddev  ios12  iphone  https   t co swrucbsypi"
"positive","apple doubles down on privacy message with new iphone advert https   t co 2dfhgmcsiy  tech  smartphones  apple  iphone"
"positive","tech armor iphone x ballistic glass complete protection get yours here  https   t co nf0qqr1yqz    iphone x glass c  https   t co asyohuw309"
"positive","still working on this  never quit  i hate the word  never     happyness  app  code  coder  developer  coworkers  https   t co wuf9mgyeas"
"positive","   do you need to be a math wiz to be a successful programmer    appdev  appdevelopment  androiddev  ios12  iphone  https   t co wmxntu87mh"
"positive","dial iphone customer service toll free number  1 877 779 5677 and get  applesupport for apple devices like  https   t co xo20qgicsi"
"neutral"," giveaway   ios  db meter   noise measure   1 99 to free  on https   t co 21hzohyjdd get the paid app for  free  https   t co jrmmtbhfp0"
"positive"," giveaway   ios  sleep sounds  relaxing sounds   1 99 to free  on https   t co esxkwdaxl6 get the paid app for  https   t co h8ntvmf0xo"
"positive"," giveaway   ios  ruler   tape measure length  99c to free  on https   t co zwuwawdvyc get the paid app for  free  https   t co nnwvkezz24"
"positive"," abc bless us with freedom from  greed  students  apple  iphone"
"positive","promate super fexible headset now available  comes in 3 different colours and only at the cost of  10   promate  https   t co otlyfhjmcy"
"negative","an annoying bug in the  iphone where when i try to conference call another party that does not answer  the first ca  https   t co xyzwplzfps"
"positive","hey guys  sports  amp  fitness in https   t co rpgttodmsn  shopping  price  money  coupon  tv  car  video  aws  prime  https   t co ywud8v4kwh"
"positive","partner got a new  huawei p20 smart on 02 but keeps saying device doesn t support fingerprint every few days even w  https   t co lidfftauc5"
"positive","youtube music  youtube music premium  and youtube premium launch in india  joining google play music and google pla  https   t co zbjfvlwups"
"neutral","neo   virtual reality for reddit for google cardboard on ios  check out https   t co o9pt6s7sgs  vr  iphone"
"positive","swift can open doors to the world of coding  the powerful programming language that is also easy to learn   https   t co rn02kkyaqm"
"negative","can you name which dive site s mooring line this is  shot with brad s of float n  flag dive centre  iphone in a  https   t co 1pzdpwog3d"
"negative"," apple why don t you come up with an iphone that is strictly designed for kids   iphone  iphoneideas  applenews  apple  applefan"
"positive","https   t co rxhafc3jqb  apprater   create and edit rich text documents on your  iphone or  ipad   work on your doc  https   t co 5uwvak6esu"
"positive","rt  appwebstudios  be a master of business game  business  entrepreneur  api  js  css  success  ui  ux  webdesign  webdevepment  mobileapp "
"positive","check undermyfork on  producthunt  check it out  https   t co k6m61v3qac  iphone  health and fitness  biohacking  a  https   t co rjnqbz5v7q"
"negative","one of these iphones is counterfeit  it was one of many that was used to rip off  apple for almost  1 million in a  https   t co x9rvznjnh4"
"negative","rt  secondhandkart  shop iphone 6  amp  6s at lowest price visit now  https   t co a9cmmtbjnb  apple  iphone  secondhandkart  deal https   t co "
"positive","probably the place where the windows xp wallpaper  bliss  was shot   california  iphone  nofilter  car  window  https   t co vmldnrnliw"
"positive","new week  are you ready to embrace it  have a blessed week                          newyork  newjersey  brooklyn  https   t co jdttv1czno"
"positive","be a master of business game  business  entrepreneur  api  js  css  success  ui  ux  webdesign  webdevepment  https   t co ozesbctjlt"
"positive","rt  batzeee  the calmness of the sea and the parked cruise waiting for the sun to rise  halongbay  vietnam        instadaily  instagood  li "
