"","airline_sentiment","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","text","tweet_coord","tweet_location","user_timezone"
"17","positive",1,NA,NA,"Virgin America","@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo",NA,"west covina","Pacific Time (US & Canada)"
"18","negative",1,"Bad Flight",1,"Virgin America","@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!",NA,"this place called NYC","Eastern Time (US & Canada)"
"19","positive",1,NA,NA,"Virgin America","I ❤️ flying @VirginAmerica. ☺️👍",NA,"Somewhere celebrating life. ","Atlantic Time (Canada)"
"20","positive",1,NA,NA,"Virgin America","@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.",NA,"Boston | Waltham","Quito"
"21","negative",0.6705,"Can't Tell",0.3614,"Virgin America","@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???",NA,NA,NA
"23","positive",1,NA,NA,"Virgin America","@VirginAmerica I love the hipster innovation. You are a feel good brand.",NA,"Los Angeles","Pacific Time (US & Canada)"
"24","neutral",1,NA,NA,"Virgin America","@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?",NA,"Boston, MA ","Eastern Time (US & Canada)"
"25","negative",1,"Customer Service Issue",0.3557,"Virgin America","@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet",NA,"714","Mountain Time (US & Canada)"
"26","negative",1,"Customer Service Issue",1,"Virgin America","@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.",NA,NA,NA
"27","negative",1,"Can't Tell",0.6614,"Virgin America","@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail",NA,NA,NA
"28","neutral",0.6854,NA,NA,"Virgin America","@VirginAmerica do you miss me? Don't worry we'll be together very soon.",NA,"San Francisco, CA","Central Time (US & Canada)"
"31","negative",1,"Flight Booking Problems",1,"Virgin America","@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",NA,NA,"Vienna"
"32","neutral",1,NA,NA,"Virgin America","@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?",NA,"California, San Francisco","Pacific Time (US & Canada)"
"34","negative",1,"Customer Service Issue",1,"Virgin America","@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",NA,NA,"Pacific Time (US & Canada)"
"36","neutral",0.6207,NA,NA,"Virgin America","Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP",NA,"Worldwide","Caracas"
"37","positive",1,NA,NA,"Virgin America","@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday",NA,"Central Texas",NA
"38","positive",1,NA,NA,"Virgin America","@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",NA,"Central Texas",NA
"39","neutral",0.6791,NA,0,"Virgin America","@VirginAmerica when can I book my flight to Hawaii??",NA,"i'm creating a monster ","Pacific Time (US & Canada)"
"40","negative",1,"Customer Service Issue",1,"Virgin America","@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk",NA,"San Francisco, CA","Pacific Time (US & Canada)"
"41","positive",0.6639,NA,NA,"Virgin America","@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",NA,NA,NA
"42","negative",0.6688,"Flight Booking Problems",0.6688,"Virgin America","@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",NA,"Iowa City","Central Time (US & Canada)"
"44","neutral",0.6578,NA,0,"Virgin America","@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp",NA,"Georgia","Pacific Time (US & Canada)"
"45","neutral",1,NA,NA,"Virgin America","@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?",NA,NA,NA
"46","positive",1,NA,NA,"Virgin America","@VirginAmerica I'm #elevategold for a good reason: you rock!!",NA,"Los Angeles",NA
"47","neutral",0.6799,NA,NA,"Virgin America","@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx",NA,"Turks and caicos",NA
"48","positive",1,NA,NA,"Virgin America","@VirginAmerica wow this just blew my mind",NA,"Oakland via Midwest ","Atlantic Time (Canada)"
"49","neutral",1,NA,NA,"Virgin America","@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree",NA,"New York, NY","Eastern Time (US & Canada)"
"50","neutral",0.6436,NA,NA,"Virgin America","@VirginAmerica @ladygaga @carrieunderwood All were entertaining",NA,NA,NA
"51","neutral",0.6764,NA,0,"Virgin America","@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",NA,"Worldwide","Central Time (US & Canada)"
"52","positive",0.657,NA,NA,"Virgin America","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood",NA,"Northern Virginia","Eastern Time (US & Canada)"
"53","neutral",1,NA,NA,"Virgin America","@VirginAmerica wish you flew out of Atlanta... Soon?",NA,"Los Angeles / Atlanta","Eastern Time (US & Canada)"
"54","neutral",0.7118,NA,0,"Virgin America","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.",NA,NA,"Atlantic Time (Canada)"
"55","neutral",1,NA,NA,"Virgin America","@VirginAmerica Will flights be leaving Dallas for LA on February 24th?",NA,NA,NA
"56","negative",0.6939,"Flight Booking Problems",0.6939,"Virgin America","@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!",NA,"new york, new york","Eastern Time (US & Canada)"
"57","positive",1,NA,NA,"Virgin America","@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures",NA,"brooklyn, Ny","Pacific Time (US & Canada)"
"58","positive",0.635,NA,NA,"Virgin America","@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊",NA,"Bali, Republic of Indonesia","Kuala Lumpur"
"59","neutral",0.7007,NA,NA,"Virgin America","@VirginAmerica @ladygaga @carrieunderwood - Carrie!",NA,"UK, USA. ",NA
"60","neutral",1,NA,NA,"Virgin America","@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?",NA,"Gold Coast, Australia","Brisbane"
"61","neutral",1,NA,NA,"Virgin America","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.",NA,"Stockton, CA","Arizona"
"62","negative",1,"Customer Service Issue",1,"Virgin America","@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!",NA,"New York, NY","Eastern Time (US & Canada)"
"64","neutral",1,NA,NA,"Virgin America","@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",NA,"Twin Cities, Minn.","Eastern Time (US & Canada)"
"65","positive",1,NA,NA,"Virgin America","@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!",NA,NA,NA
"66","neutral",0.6814,NA,0,"Virgin America","@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.",NA,"USA","Central Time (US & Canada)"
"67","negative",1,"Customer Service Issue",1,"Virgin America","@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/",NA,"next city","Pacific Time (US & Canada)"
"68","negative",1,"Late Flight",0.6789,"Virgin America","@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",NA,"SF ↔ NY","Eastern Time (US & Canada)"
"69","positive",0.6922,NA,NA,"Virgin America","@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV",NA,"New York, NY","Pacific Time (US & Canada)"
"71","neutral",1,NA,NA,"Virgin America","@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?",NA,"San Francisco, CA","Eastern Time (US & Canada)"
"72","neutral",0.6492,NA,0,"Virgin America","@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.",NA,"Los Angeles",NA
"73","neutral",1,NA,NA,"Virgin America","@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",NA,"London, England","London"
"74","negative",1,"Flight Attendant Complaints",0.3516,"Virgin America","@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt",NA,"Los Angeles",NA
"76","positive",1,NA,NA,"Virgin America","@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?",NA,"Dallas, Texas","Mountain Time (US & Canada)"
"77","neutral",1,NA,NA,"Virgin America","@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",NA,"USA","Eastern Time (US & Canada)"
"78","neutral",1,NA,NA,"Virgin America","@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks",NA,"Dallas, Texas","Mountain Time (US & Canada)"
"79","negative",1,"Customer Service Issue",1,"Virgin America","@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.",NA,NA,NA
"80","neutral",1,NA,NA,"Virgin America","@VirginAmerica what happened to Doom?!",NA,NA,NA
"81","negative",1,"Customer Service Issue",1,"Virgin America","@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness",NA,NA,"Pacific Time (US & Canada)"
"82","positive",1,NA,NA,"Virgin America","@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G",NA,"Seattle, WA","Pacific Time (US & Canada)"
"83","negative",0.6792,"Late Flight",0.3477,"Virgin America","@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(",NA,"Los Angeles",NA
"84","negative",1,"Can't Tell",1,"Virgin America","@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness",NA,NA,"Pacific Time (US & Canada)"
"85","negative",1,"Can't Tell",1,"Virgin America","@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin",NA,NA,"Pacific Time (US & Canada)"
"87","neutral",0.6705,NA,0,"Virgin America","@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code",NA,"Chicago","Eastern Time (US & Canada)"
"88","neutral",1,NA,NA,"Virgin America","@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4",NA,NA,NA
"89","neutral",0.6545,NA,0,"Virgin America","@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?",NA,"Los Cabos,Mexico","Arizona"
"90","negative",1,"Can't Tell",0.6513,"Virgin America","@VirginAmerica Why is the site down?  When will it be back up?",NA,"New York, NY","Arizona"
"91","neutral",1,NA,NA,"Virgin America","@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",NA,NA,"Pacific Time (US & Canada)"
"92","neutral",0.6639,NA,0,"Virgin America","@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",NA,NA,NA
"93","negative",1,"Cancelled Flight",1,"Virgin America","@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .",NA,NA,NA
"94","negative",1,"Late Flight",1,"Virgin America","@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",NA,NA,"Pacific Time (US & Canada)"
"95","neutral",0.6765,NA,0,"Virgin America","@VirginAmerica why is flight 345 redirected?",NA,NA,NA
"96","negative",1,"Customer Service Issue",0.6863,"Virgin America","@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",NA,"Los Angeles, CA","Arizona"
"97","negative",1,"Customer Service Issue",0.6771,"Virgin America","@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y",NA,"Austin, TX","Mountain Time (US & Canada)"
"98","negative",1,"Can't Tell",0.659,"Virgin America","@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable",NA,NA,NA
"99","negative",1,"Flight Booking Problems",0.6714,"Virgin America","@virginamerica What is your phone number. I can't find who to call about a flight reservation.",NA,"Sterling Heights, MI","Eastern Time (US & Canada)"
"100","negative",1,"Customer Service Issue",1,"Virgin America","@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.",NA,"Washington DC","Quito"
"101","neutral",1,NA,NA,"Virgin America","@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM",NA,"Manhattan Beach, CA",NA
"102","negative",1,"Late Flight",0.6882,"Virgin America","@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax",NA,NA,"Pacific Time (US & Canada)"
"103","neutral",1,NA,NA,"Virgin America","@VirginAmerica check out new music http://t.co/maRcnOCWzn",NA,"Greater Los Angeles",NA
"105","negative",1,"Late Flight",0.3486,"Virgin America","@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.",NA,NA,"Pacific Time (US & Canada)"
"106","positive",1,NA,NA,"Virgin America","@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",NA,"Online","Pacific Time (US & Canada)"
"110","positive",0.6823,NA,0,"Virgin America","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",NA,"Washington, DC","Eastern Time (US & Canada)"
"111","neutral",1,NA,NA,"Virgin America","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",NA,"Seattle","Central Time (US & Canada)"
"112","positive",0.6806,NA,NA,"Virgin America","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",NA,"New York City, NY","Central Time (US & Canada)"
"113","neutral",0.6529,NA,NA,"Virgin America","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",NA,"Los Angeles, CA","Central Time (US & Canada)"
"114","positive",0.678,NA,NA,"Virgin America","@VirginAmerica Have a great week 🌞✈",NA,NA,NA
"115","positive",0.3482,NA,0,"Virgin America","@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH",NA,"Earth","Eastern Time (US & Canada)"
"117","positive",1,NA,NA,"Virgin America","@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",NA,"Halifax, Nova Scotia, Canada","Eastern Time (US & Canada)"
"118","positive",1,NA,NA,"Virgin America","@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!",NA,"Los Angeles, CA",NA
"119","positive",1,NA,NA,"Virgin America","@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.",NA,"Near a park, water, or lights","Pacific Time (US & Canada)"
"120","positive",1,NA,NA,"Virgin America","@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",NA,"USA","Eastern Time (US & Canada)"
"121","negative",0.6832,"Customer Service Issue",0.3773,"Virgin America","@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?",NA,"San Francisco CA","Pacific Time (US & Canada)"
"122","negative",1,"Flight Booking Problems",0.6767,"Virgin America","@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",NA,"San Francisco CA","Pacific Time (US & Canada)"
"123","negative",1,"Customer Service Issue",0.6527,"Virgin America","@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370",NA,NA,NA
"124","positive",1,NA,NA,"Virgin America","@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!",NA,"San Francisco",NA
"126","neutral",1,NA,NA,"Virgin America","@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",NA,"New York","Eastern Time (US & Canada)"
"128","positive",1,NA,NA,"Virgin America","@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue",NA,NA,NA
"130","neutral",0.6535,NA,0,"Virgin America","@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?",NA,NA,NA
"131","negative",1,"Customer Service Issue",0.6448,"Virgin America","@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.",NA,NA,"Eastern Time (US & Canada)"
"132","negative",1,"Can't Tell",1,"Virgin America","@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry",NA,NA,NA
"133","neutral",1,NA,NA,"Virgin America","@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?",NA,"Sacramento,California","Pacific Time (US & Canada)"
"134","negative",1,"Cancelled Flight",0.6875,"Virgin America","@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!",NA,NA,NA
"135","negative",1,"Late Flight",1,"Virgin America","@VirginAmerica Another delayed flight? #likingyoulessandless",NA,"San Diego","Alaska"
"136","negative",1,"Customer Service Issue",1,"Virgin America","@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise",NA,"Oakland, California","Pacific Time (US & Canada)"
"137","positive",1,NA,NA,"Virgin America","@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015",NA,NA,"Mountain Time (US & Canada)"
"138","neutral",1,NA,NA,"Virgin America","@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",NA,NA,NA
"139","positive",0.7011,NA,NA,"Virgin America","@VirginAmerica always!!! Xoxo",NA,"All Over!","Pacific Time (US & Canada)"
"140","negative",1,"Flight Booking Problems",1,"Virgin America","@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated",NA,"Providence, RI","Eastern Time (US & Canada)"
"141","negative",0.6543,"Flight Attendant Complaints",0.3562,"Virgin America","@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame",NA,"San Diego","Alaska"
"142","positive",1,NA,NA,"Virgin America","@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!",NA,"Los Angeles, CA",NA
"143","neutral",0.355,NA,0,"Virgin America","@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃",NA,"New York City ","Eastern Time (US & Canada)"
"144","negative",0.6889,"Late Flight",0.6889,"Virgin America","@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas",NA,"New York","Eastern Time (US & Canada)"
"145","positive",1,NA,NA,"Virgin America","@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!",NA,"All Over!","Pacific Time (US & Canada)"
"146","negative",1,"Cancelled Flight",1,"Virgin America","@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",NA,"iPhone: 29.741360,-90.131523","Pacific Time (US & Canada)"
"147","negative",0.679,"Flight Booking Problems",0.3684,"Virgin America","@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.",NA,"Los Angeles","Pacific Time (US & Canada)"
"149","positive",1,NA,NA,"Virgin America","@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf",NA,"Washington, DC","Eastern Time (US & Canada)"
"150","negative",1,"Damaged Luggage",0.6501,"Virgin America",".@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.",NA,"Las Vegas","Pacific Time (US & Canada)"
"151","negative",1,"Damaged Luggage",1,"Virgin America",".@VirginAmerica does that mean you don't have a policy for destroyed luggage?",NA,"Las Vegas","Pacific Time (US & Canada)"
"152","neutral",1,NA,NA,"Virgin America","@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?",NA,NA,"Atlantic Time (Canada)"
"153","positive",1,NA,NA,"Virgin America","@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)",NA,"San Francisco","Pacific Time (US & Canada)"
"154","neutral",1,NA,NA,"Virgin America","@VirginAmerica is your website ever coming back online?",NA,NA,NA
"155","neutral",0.6732,NA,0,"Virgin America","@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",NA,NA,NA
"156","neutral",1,NA,NA,"Virgin America","@VirginAmerica Is flight 0769 out of LGA to DFW on time?",NA,NA,NA
"157","neutral",1,NA,NA,"Virgin America","@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?",NA,NA,NA
"158","negative",1,"Customer Service Issue",0.6983,"Virgin America","@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.",NA,"San Francisco","Pacific Time (US & Canada)"
"159","negative",0.6593,"Cancelled Flight",0.6593,"Virgin America","@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!",NA,"CA",NA
"160","negative",1,"Flight Booking Problems",0.6556,"Virgin America","@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",NA,"@ the moment in New Delhi","Pacific Time (US & Canada)"
"161","negative",1,"Late Flight",0.3571,"Virgin America","@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",NA,"Brooklyn","Eastern Time (US & Canada)"
"162","negative",1,"Cancelled Flight",1,"Virgin America","@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",NA,"Brooklyn","Eastern Time (US & Canada)"
"163","negative",1,"Bad Flight",1,"Virgin America","@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter",NA,"Washington, DC","Eastern Time (US & Canada)"
"164","negative",0.6517,"Customer Service Issue",0.3371,"Virgin America","@VirginAmerica is the website down?",NA,"Los Angeles",NA
"165","negative",0.68,"Customer Service Issue",0.35,"Virgin America","@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2",NA,NA,NA
"166","negative",1,"Customer Service Issue",0.7002,"Virgin America","@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers",NA,"Washington, DC","Eastern Time (US & Canada)"
"167","neutral",1,NA,NA,"Virgin America","@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2",NA,"FL410","Sydney"
"168","negative",1,"Customer Service Issue",1,"Virgin America","@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh",NA,"Tokyo","Irkutsk"
"169","negative",1,"longlines",0.6818,"Virgin America","@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!",NA,"Philadelphia, Pa","Eastern Time (US & Canada)"
"170","neutral",1,NA,NA,"Virgin America","@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx",NA,"FL410","Sydney"
"171","neutral",1,NA,NA,"Virgin America","@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",NA,"FL410","Sydney"
"172","neutral",1,NA,NA,"Virgin America","@VirginAmerica Lister to my show my on Monday 1230 130",NA,NA,NA
"173","neutral",1,NA,NA,"Virgin America","@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH",NA,"FL410","Sydney"
"174","negative",1,"Can't Tell",0.663,"Virgin America","@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",NA,"Belmar, NJ","Eastern Time (US & Canada)"
"175","negative",1,"Customer Service Issue",0.6777,"Virgin America","@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed",NA,NA,"Eastern Time (US & Canada)"
"176","neutral",0.6816,NA,0,"Virgin America","@VirginAmerica I'd love to know what your policy is for damaged luggage.",NA,"Las Vegas","Pacific Time (US & Canada)"
